地区,2023年,2022年,2021年,2020年,2019年,2018年,2017年,2016年,2015年
北京市,2.51,2.02,2.30,3.77,3.89,3.43,3.71,4.89,3.79
天津市,3.62,2.95,3.00,4.92,4.78,4.11,3.78,4.24,3.36
河北省,2.40,1.75,1.80,3.14,3.37,3.11,3.10,2.96,2.68
山西省,2.12,1.64,1.68,2.27,2.45,2.36,2.23,2.09,1.97
内蒙古自治区,2.94,2.18,2.29,3.48,3.93,3.90,4.00,3.92,3.66
辽宁省,2.87,2.21,2.26,3.49,4.06,3.95,3.81,3.65,3.48
吉林省,3.42,2.52,2.68,4.07,4.83,4.75,4.90,4.71,4.63
黑龙江省,3.68,2.60,2.70,3.97,4.98,5.12,5.19,4.91,4.98
上海市,1.73,1.23,1.46,2.70,2.54,2.44,2.43,3.41,2.76
江苏省,2.51,2.07,2.12,3.26,3.71,3.54,3.59,3.27,2.87
浙江省,1.87,1.60,1.46,2.26,2.64,2.71,2.80,2.65,2.52
安徽省,2.97,2.39,2.40,3.81,3.93,3.88,3.89,3.54,2.95
福建省,2.16,1.80,1.66,2.63,2.83,2.72,2.72,2.51,2.33
江西省,2.34,1.90,1.77,2.75,2.83,2.70,2.41,2.24,2.08
山东省,2.17,1.82,1.84,2.57,2.83,2.74,2.73,2.58,2.45
河南省,2.75,1.93,2.02,3.22,3.70,3.40,3.32,2.93,2.66
湖北省,2.62,2.23,2.18,3.30,3.58,3.40,3.38,3.13,2.85
湖南省,2.52,2.14,1.95,3.15,3.19,3.10,3.03,2.85,2.67
广东省,1.78,1.46,1.32,2.04,2.15,2.03,1.99,1.95,1.78
广西壮族自治区,2.30,1.99,1.89,2.74,2.88,2.62,2.47,2.35,2.18
海南省,2.03,1.48,1.51,2.35,2.27,2.10,1.93,1.83,1.66
重庆市,3.35,2.79,2.82,4.55,5.00,4.96,4.93,4.60,4.55
四川省,3.01,2.59,2.37,3.59,3.81,3.76,3.76,3.61,3.49
贵州省,3.66,3.12,2.78,4.31,4.59,4.22,3.77,3.43,3.07
云南省,2.70,2.37,2.10,2.99,2.97,2.77,2.66,2.52,2.30
西藏自治区,1.93,1.26,1.48,1.75,1.50,1.37,1.20,1.08,0.73
陕西省,2.43,2.02,2.07,3.27,3.53,3.34,2.84,2.67,2.57
甘肃省,2.34,1.64,1.70,2.29,2.35,2.20,2.07,1.94,1.78
青海省,3.01,1.92,2.28,3.05,3.04,2.85,2.76,2.58,2.17
宁夏回族自治区,2.89,2.26,2.31,2.93,3.51,3.33,3.27,2.92,2.64
新疆维吾尔自治区,4.20,2.54,2.83,2.88,2.90,2.41,3.07,3.98,4.31
